Number of Netris VPCs,Cumulative number of Netris DNAT rules across all VPCs,Throughput
1,800,13 MPPS
1,1300,12 MPPS
1,1600,10 MPPS
1,3333,8 MPPS
1,16666,2 MPPS
----------------------------,------------------------------------------------------------------,---------------
100,800,12 MPPS
100,1300,11 MPPS
100,1600,10 MPPS
100,3333,7 MPPS
100,16666,2 MPPS
----------------------------,------------------------------------------------------------------,---------------
1000,800,9 MPPS
1000,1300,8 MPPS
1000,1600,8 MPPS
1000,3333,7 MPPS
1000,16666,2 MPPS
